X1.1_metaphlan	X1.2_metaphlan	X1.3_metaphlan	X1.5_metaphlan	X1.7_metaphlan	X1.8_metaphlan	X2.1_metaphlan	X2.4_metaphlan	X2.5_metaphlan	X2.6_metaphlan	X2.7_metaphlan	X2.8_metaphlan	X3.1_metaphlan	X3.2_metaphlan	X3.3_metaphlan	X3.4_metaphlan	X3.5_metaphlan	X3.6_metaphlan
GGB28357_SGB40935	1357	0	663	0	193	174	715	0	1031	0	0	224	68	685	1091	3028	915	3142
GGB30461_SGB43530	1332	212	504	218	110	108	17	1	0	6	0	0	0	0	0	0	0	0
Clostridium_SGB65123	1320	353	993	267	607	441	123	110	576	130	26	54	37	183	0	0	27	0
Parabacteroides_goldsteinii	1296	843	1772	803	858	1396	1136	780	1213	489	1097	1376	489	2112	31	128	1051	1338
GGB28384_SGB40964	1257	0	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum_intestinale	1248	2162	2155	1772	1647	2939	2161	1877	1116	1388	1877	1837	802	1587	686	660	2064	471
GGB28916_SGB41612	1202	1081	425	1371	3552	1041	5426	4150	1832	3161	3916	3418	12120	1989	10590	9193	2265	0
GGB28381_SGB40961	1156	2913	3064	2201	2844	2362	102	979	2485	758	837	1787	317	117	122	346	174	0
GGB30456_SGB43520	1069	348	263	413	292	106	0	0	9	0	98	453	0	0	11	10	0	0
GGB29535_SGB42321	923	1496	189	814	964	904	2656	21	4	54	454	1635	14	1334	1484	1150	246	2338
GGB30295_SGB43259	912	953	327	1359	1185	312	615	521	102	729	957	642	642	412	1108	1299	405	932
GGB30461_SGB43533	851	1390	788	2108	2193	1080	1371	70	127	127	1593	2261	881	630	1265	2020	529	1169
GGB31438_SGB44768	827	625	1165	687	64	61	56	476	4578	1010	153	85	985	87	956	827	465	102
GGB45535_SGB63214	826	6	78	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0
Clostridiales_bacterium	792	323	989	294	238	309	771	0	0	1	2	481	1166	2637	288	277	1367	2979
GGB31762_SGB45125	700	441	973	531	342	383	369	1	1417	1055	412	272	588	920	1	0	3500	0
GGB42330_SGB59498	676	237	1071	293	275	202	0	0	0	0	0	0	0	0	0	0	0	0
GGB31428_SGB44758	662	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0
Xylanibacter_rodentium	647	777	1794	723	523	914	19	155	274	41	6	23	1	10	0	0	10	19
GGB30461_SGB63208	598	310	146	503	974	420	0	0	25	0	0	0	0	0	0	0	0	0
GGB27473_SGB39766	591	402	461	474	671	747	494	537	219	375	1606	864	527	667	94	101	173	402
GGB28862_SGB41532	585	431	180	440	303	60	54	179	382	157	403	1231	2197	586	1073	889	259	2253
Clostridiaceae_bacterium	568	294	196	337	466	157	240	518	193	482	537	360	207	161	575	556	115	480
Paramuribaculum_intestinale	561	0	307	0	0	0	0	4361	13	1103	409	0	2097	1747	0	363	0	0
Lactobacillus_johnsonii	529	1754	1605	1985	2685	4290	150	0	1168	0	0	104	11	33	185	37	13	0
GGB30460_SGB63207	518	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28415_SGB40997	514	773	922	824	1495	1073	0	0	0	0	0	0	0	0	0	0	0	0
GGB28393_SGB40973	491	252	482	254	328	337	68	134	511	432	216	616	5	37	0	248	40	0
GGB27890_SGB40324	470	1046	1727	976	188	373	158	69	394	83	1302	652	72	63	89	106	165	29
GGB28822_SGB41478	465	327	25	317	216	116	118	0	0	0	0	87	0	0	3	0	0	0
GGB31793_SGB45163	461	178	508	236	288	315	108	34	175	551	4	111	109	438	3	7	788	550
bacterium_1xD8_48	443	469	215	646	700	259	658	275	181	547	455	343	944	296	199	1151	208	582
GGB30461_SGB43527	426	1346	518	2034	1595	839	21	0	14	17	1	3	58	9	2	10	80	32
Clostridia_bacterium	419	239	153	374	553	171	369	167	104	251	279	244	375	285	195	322	150	790
GGB30453_SGB43513	412	87	120	121	436	217	1106	1025	98	1361	490	282	1655	680	923	2444	800	745
GGB28991_SGB41705	400	364	234	480	704	433	0	11	27	7	16	7	0	0	88	64	2	0
GGB28931_SGB41632	388	1671	645	3084	2078	653	0	0	0	0	0	0	0	0	0	0	0	0
GGB28926_SGB41624	371	193	110	238	647	186	342	425	30	793	235	35	1303	158	44	122	94	618
GGB28932_SGB41633	362	397	270	576	779	232	0	0	0	0	0	0	0	0	0	0	0	0
Mucispirillum_schaedleri	360	59	0	27	68	69	0	0	67	0	494	1836	1327	53	17	397	52	251
GGB28396_SGB40977	345	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB31839_SGB45217	343	251	413	296	285	334	0	0	0	563	0	0	14	0	0	0	37	0
Turicibacter_sp_1E2	334	323	303	231	451	628	98	107	103	92	8	51	3	45	0	0	0	25
GGB30286_SGB43248	333	97	111	121	205	100	197	128	122	155	203	184	92	45	135	205	24	31
Duncaniella_muris	331	469	356	326	247	409	1179	449	838	587	727	947	1023	2330	4364	3124	6952	284
GGB81440_SGB45230	328	196	74	242	255	138	27	111	108	94	297	316	4	0	93	66	5	0
GGB28356_SGB40934	312	188	284	603	1585	1735	383	0	8	982	580	1628	0	2555	74	241	69	0
GGB28879_SGB41559	306	58	65	68	178	46	115	49	28	96	50	40	19	2	0	0	10	31
GGB20149_SGB29430	302	91	77	80	197	61	1394	456	54	712	1062	1362	451	265	39	127	82	333
Eubacteriaceae_bacterium	297	388	464	282	257	289	514	254	258	153	615	426	82	32	66	30	76	50
GGB30302_SGB43267	291	79	90	141	167	69	898	231	160	432	271	401	1284	411	329	1362	322	876
GGB30449_SGB43506	291	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28898_SGB41580	280	482	211	698	1014	342	81	0	7	4	3	8	0	0	0	0	0	0
GGB28632_SGB41253	279	122	133	295	319	71	113	56	114	152	96	167	120	92	87	629	72	181
GGB31312_SGB44628	277	48	125	135	130	204	22	207	36	400	804	1607	34	18	0	16	0	18
GGB30455_SGB43519	275	213	121	284	314	128	318	345	107	452	194	175	540	225	186	345	179	506
GGB28951_SGB41658	263	112	74	163	132	49	203	143	46	203	180	157	385	189	148	331	88	288
Turicimonas_muris	255	994	616	712	379	858	3277	2194	1227	904	2156	2737	340	2139	1470	835	1352	1607
GGB28924_SGB41621	252	395	83	671	266	140	883	0	0	0	107	164	9	2	0	0	9	45
GGB74407_SGB43540	239	0	59	0	0	0	0	0	440	277	974	1996	0	0	2037	2472	235	0
GGB42617_SGB59813	235	1433	296	1916	2567	925	0	0	0	0	0	0	0	0	0	0	0	0
GGB28864_SGB41535	235	208	85	289	242	81	505	2	115	21	0	15	18	121	20	39	25	622
GGB28422_SGB41005	229	0	128	0	0	0	0	0	122	38	16	29	0	0	0	0	0	0
GGB30454_SGB43516	218	0	18	0	0	0	0	0	373	26	512	785	140	0	0	0	170	0
Bacteria_unclassified_SGB41677	216	316	162	406	443	124	420	219	217	325	330	315	338	234	295	755	117	526
GGB28950_SGB41657	211	11	18	0	0	0	2	42	144	114	14	1	161	60	134	253	16	154
GGB73359_SGB46611	200	118	176	198	168	274	95	53	156	67	46	59	56	84	167	79	260	15
GGB30454_SGB100837	199	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28866_SGB59793	198	133	52	99	549	57	1283	459	0	719	216	29	1	200	342	571	438	0
GGB28418_SGB41001	195	0	9	0	0	0	0	0	0	0	0	0	421	657	0	0	0	0
GGB28881_SGB41561	193	112	32	190	211	67	1949	19	1	71	12	37	87	620	1007	2817	623	1133
GGB28925_SGB41622	193	7	37	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillospiraceae_unclassified_SGB63230	186	143	78	224	132	48	289	151	16	248	110	65	21	29	80	178	18	136
GGB28944_SGB59839	185	277	212	401	176	101	186	173	318	334	333	206	402	460	416	845	205	952
GGB27885_SGB40319	177	194	174	115	68	143	281	176	323	467	231	189	7	16	12	8	15	23
GGB28887_SGB41568	174	0	0	1	3	0	66	0	251	2	0	47	8	3	3	3	0	9
GGB28909_SGB41602	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28817_SGB41472	164	471	151	824	933	122	0	0	0	1	0	0	0	74	3	0	0	340
Bacteria_unclassified_SGB102200	163	13	37	25	25	3	631	258	4	444	145	77	116	101	110	124	65	334
Pumilibacter_sp_CLA_AA_M10	161	159	232	282	182	74	0	0	591	0	9	17	1135	221	277	1699	130	743
GGB28836_SGB41496	160	0	39	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
Rikenellaceae_unclassified_SGB40209	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB29531_SGB42317	158	164	88	267	214	90	188	113	102	161	289	354	170	122	237	248	66	292
Acetatifactor_SGB41545	152	172	128	236	450	123	53	78	36	171	140	136	11	4	28	70	1	24
bacterium_1XD21_13	149	105	57	182	205	83	143	73	47	120	124	112	124	56	77	194	96	153
Bifidobacterium_pseudolongum	148	1733	830	1253	750	1896	834	1443	761	1436	759	597	39	187	291	72	123	31
GGB28761_SGB59843	145	205	77	240	243	103	163	748	303	392	223	45	49	0	0	0	0	0
GGB28907_SGB41600	145	0	31	0	3	0	323	0	447	0	0	31	76	0	0	0	137	0
GGB42619_SGB59815	141	231	159	292	258	167	0	0	1	48	0	0	0	0	0	0	0	0
GGB28403_SGB40985	141	15	92	27	7	0	0	23	7	5	19	48	0	0	0	0	0	0
Oscillospiraceae_unclassified_SGB43542	140	20	6	27	96	62	0	0	20	0	10	25	20	905	2	0	153	1691
GGB28904_SGB41596	138	136	38	202	258	27	52	0	0	0	0	0	0	0	0	0	0	0
GGB42586_SGB59781	135	109	71	137	73	17	207	65	33	24	70	119	20	24	42	51	0	46
GGB30468_SGB43552	129	66	47	107	89	30	70	31	9	44	56	113	125	26	65	131	45	34
Lachnospiraceae_bacterium_MD335	129	62	26	93	331	88	282	96	0	113	75	81	0	0	0	0	0	0
GGB28428_SGB41011	122	199	194	411	256	39	0	0	0	0	0	0	0	0	0	0	0	0
Acetatifactor_SGB41546	120	72	25	62	72	31	813	358	81	542	257	172	1562	548	414	683	331	1873
GGB45624_SGB63337	120	21	19	34	42	11	0	0	41	1	10	24	182	39	104	251	34	205
GGB28784_SGB41437	116	10	13	5	12	0	0	19	2	16	26	13	29	13	82	27	1	129
GGB28782_SGB41435	115	143	67	210	298	50	40	0	0	0	27	32	0	4	0	0	0	52
GGB30461_SGB63209	114	28	21	43	115	32	240	699	361	960	232	40	1362	308	24	59	109	229
GGB28815_SGB41470	112	53	43	77	109	30	392	189	62	221	269	259	544	133	139	107	25	294
GGB28949_SGB41655	106	45	37	63	63	10	94	43	11	71	43	28	17	9	12	28	26	25
Clostridia_unclassified_SGB41507	100	27	20	38	86	26	35	3	8	12	8	9	15	5	3	8	2	14
Lachnospiraceae_unclassified_SGB41424	99	202	113	250	209	168	96	4	75	78	137	89	202	53	21	40	78	3
bacterium_D16_76	95	0	26	0	0	0	0	0	0	0	0	0	278	41	0	0	0	0
GGB75074_SGB102167	95	68	26	115	89	26	50	42	16	62	46	46	103	73	68	104	59	103
Oscillospiraceae_bacterium	89	59	19	94	30	12	18	22	14	83	151	198	55	9	31	55	10	27
Schaedlerella_arabinosiphila	88	76	38	110	86	25	14	10	9	19	16	8	4	0	3	5	0	6
Dorea_sp_5_2	81	115	34	179	81	28	177	184	5	213	313	164	169	98	184	198	300	43
GGB28968_SGB41679	78	22	21	27	24	7	67	68	10	98	48	23	15	8	21	46	7	18
GGB28883_SGB41564	73	46	16	44	51	23	7	27	0	20	16	8	8	0	7	6	0	0
Eubacterium_sp_14_2	69	115	32	131	138	38	0	0	57	2	53	35	21	0	5	4	0	0
GGB28869_SGB41543	68	64	21	118	21	2	35	21	4	41	21	15	36	9	23	47	2	21
GGB28927_SGB41625	64	53	33	67	170	46	332	33	16	64	30	30	39	32	47	124	30	118
Bacteria_unclassified_SGB43541	62	60	16	41	63	26	416	166	13	240	61	46	163	88	52	72	23	166
GGB28892_SGB41573	59	218	121	376	217	45	0	0	0	8	0	0	0	0	0	0	0	0
GGB30462_SGB43535	57	0	4	6	5	0	0	0	70	128	0	0	0	0	0	0	0	0
GGB28894_SGB41575	55	31	11	14	46	11	4	4	0	0	0	1	0	0	0	0	0	0
Acetatifactor_sp_DSM_110981	53	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia_ilealis	53	74	67	17	66	19	56	54	110	83	8	18	44	184	74	20	92	112
bacterium_0_1xD8_82	53	90	34	119	66	18	2	0	0	1	3	4	26	65	0	0	30	237
GGB74395_SGB43521	51	24	2	8	0	9	172	125	16	151	42	15	296	546	729	1198	105	1158
GGB28793_SGB41446	50	39	9	32	38	20	239	298	6	273	203	137	55	107	0	3	0	252
Anaerotruncus_sp_1XD42_93	48	80	35	126	76	24	289	105	59	95	113	155	554	196	162	305	111	850
Bacteria_unclassified_SGB63211	47	172	91	227	233	76	88	91	32	111	41	37	1003	191	0	21	0	212
Lachnospiraceae_unclassified_SGB41414	47	0	0	0	0	0	0	0	83	0	136	59	15	0	0	0	27	0
Acetatifactor_SGB94872	47	23	8	47	45	8	64	0	12	8	9	17	4	0	1	9	0	11
Lachnospiraceae_unclassified_SGB41413	44	22	7	20	57	23	74	98	22	94	188	115	344	153	694	397	60	534
GGB28778_SGB41431	44	66	11	93	0	0	9	13	0	23	15	5	5	15	60	116	17	87
GGB31838_SGB45216	44	419	647	513	324	273	0	0	8	99	0	0	1	1591	2566	1221	3471	0
GGB45536_SGB63216	44	10	8	17	12	4	15	4	9	8	7	8	70	16	3	19	18	35
Erysipelotrichales_bacterium	40	20	23	17	7	9	114	9	17	25	15	88	15	23	19	4	22	4
Lachnospiraceae_unclassified_SGB41521	40	112	46	163	307	86	23	0	0	0	0	0	0	0	0	0	0	3
GGB30463_SGB102197	39	0	10	0	0	0	0	0	0	0	0	0	29	3	0	0	0	0
GGB28934_SGB41637	39	38	17	61	111	22	130	60	10	98	89	54	0	0	0	0	0	2
GGB29530_SGB42316	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30301_SGB43265	37	20	10	30	30	10	63	37	39	51	19	15	39	9	15	61	9	42
Clostridium_cocleatum	37	111	33	45	89	47	181	153	230	158	199	146	77	304	520	83	246	135
GGB28823_SGB41479	37	154	30	284	950	164	1	0	0	0	0	1	0	0	0	0	0	0
Bacteria_unclassified_SGB43539	34	0	9	0	0	0	13	0	22	0	0	31	47	3	0	0	35	4
Lachnospiraceae_unclassified_SGB41492	34	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
Oscillibacter_SGB43496	34	122	39	196	11	3	190	37	32	56	31	45	231	121	478	1042	128	530
Coriobacteriaceae_bacterium	33	54	42	33	28	48	26	31	12	20	31	25	11	27	72	13	58	15
GGB45564_SGB63259	32	114	54	43	62	73	149	40	95	140	210	231	79	108	77	61	116	99
GGB30414_SGB43453	31	53	16	89	81	19	49	15	12	27	26	23	128	53	7	14	19	279
GGB30457_SGB63218	30	0	9	0	0	0	0	0	2	0	0	0	20	0	0	0	0	0
GGB28926_SGB41623	30	8	0	10	5	0	184	94	0	163	65	35	8	12	0	5	0	107
Granulimonas_faecalis	29	45	49	43	26	59	1080	737	951	534	863	703	404	518	7529	762	1047	60
GGB28439_SGB41022	29	2	9	0	0	1	3	6	15	7	20	44	0	2	0	1	2	2
Akkermansia_muciniphila	29	858	117	752	261	1392	14	7	3621	3070	3279	1779	979	23	74	26	2374	49
GGB28959_SGB41668	26	5	6	8	8	1	0	15	0	25	4	0	7	6	4	7	0	23
bacterium_1XD42_54	26	67	65	41	44	88	93	42	19	42	34	63	15	291	324	163	223	150
Neglectibacter_sp_X4	26	22	11	27	16	15	212	87	138	157	27	46	144	354	460	874	266	625
GGB45514_SGB63186	25	115	46	145	61	29	425	160	43	275	91	74	560	179	186	243	275	445
GGB75036_SGB102224	24	32	59	19	34	52	12	14	33	16	25	12	26	76	52	32	63	43
Sporofaciens_musculi	24	22	1	19	21	33	1	0	0	0	10	13	40	3	6	1	28	0
GGB28956_SGB41665	23	29	11	47	32	6	19	7	6	11	9	5	4	4	0	0	1	8
GGB22635_SGB63107	22	18	14	15	15	13	1	2	3	2	1	0	0	0	7	2	0	1
GGB28836_SGB41495	22	101	22	138	161	63	0	0	0	0	0	0	0	0	0	0	0	0
GGB28810_SGB41465	20	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
Lachnospiraceae_unclassified_SGB59788	19	8	5	11	17	7	1	2	11	6	16	20	0	0	0	0	0	0
GGB28379_SGB40959	19	277	666	279	243	389	408	191	403	189	422	1123	1899	1013	0	0	1586	0
GGB28803_SGB41457	19	39	11	55	67	25	0	19	3	23	34	11	0	0	0	0	0	0
GGB28875_SGB41555	19	21	8	28	12	4	0	0	0	0	18	33	0	0	0	0	0	0
GGB28913_SGB41607	18	22	2	13	30	26	10	0	0	0	0	0	0	0	0	0	0	0
GGB30303_SGB43268	18	37	15	68	56	16	58	14	0	20	6	2	8	2	0	4	3	16
GGB30861_SGB44083	18	35	26	31	34	39	1	0	0	0	0	0	0	0	13	3	3	0
GGB70448_SGB94871	17	2	0	0	34	4	0	0	0	0	0	0	0	0	0	0	0	0
GGB28854_SGB41523	17	17	7	27	23	6	1	0	0	2	4	5	0	0	5	9	0	4
Ligilactobacillus_murinus	16	60	22	34	78	129	63	369	84	166	55	31	34	117	122	32	91	40
GGB30302_SGB43266	15	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0
GGB32371_SGB41694	15	42	18	78	43	17	13	6	0	10	13	12	6	6	7	8	0	26
GGB30463_SGB43537	14	97	28	88	95	40	359	98	37	83	97	174	104	67	42	32	20	237
GGB30141_SGB43066	14	21	7	32	34	12	31	11	0	20	3	5	12	0	0	26	0	0
GGB28855_SGB41524	14	21	8	33	103	34	0	1	0	5	2	0	10	7	26	75	5	31
GGB28841_SGB41505	14	10	4	18	13	6	14	0	7	12	4	9	14	3	3	9	16	13
bacterium_1XD42_76	14	11	2	10	42	13	41	7	0	9	11	5	13	21	14	29	51	33
GGB28954_SGB41662	13	0	1	0	0	0	0	0	0	0	0	0	40	1	0	0	0	0
GGB30408_SGB43438	12	10	1	17	14	2	6	2	0	5	5	2	4	0	3	6	0	4
Lachnospiraceae_unclassified_SGB94868	12	10	4	18	12	3	4	0	0	1	0	0	0	0	0	0	0	1
GGB30451_SGB102185	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28400_SGB40981	12	32	51	44	47	28	10	15	13	8	18	48	1	0	0	8	0	0
GGB28829_SGB41485	12	48	17	74	36	16	686	1646	56	788	1088	1281	19	92	0	0	91	0
Adlercreutzia_caecimuris	12	16	19	10	10	21	21	14	12	13	6	12	17	35	61	19	58	29
GGB28818_SGB41473	11	1	1	0	10	1	40	0	0	0	16	53	1	24	22	11	16	54
GGB42601_SGB59797	11	2	2	3	6	0	5	4	6	13	21	17	3	1	5	13	0	0
GGB28945_SGB41650	11	17	7	23	25	10	11	14	14	20	11	5	11	11	31	39	3	55
GGB28949_SGB41656	10	7	3	13	20	2	0	0	2	9	8	6	1	0	0	0	0	1
GGB75314_SGB102498	10	5	7	6	18	6	1	0	0	0	0	0	18	1	0	0	0	4
GGB42328_SGB59496	10	2	10	4	3	1	5	4	3	3	4	9	2	0	0	0	0	0
GGB9439_SGB42949	9	33	18	31	23	28	0	0	0	0	0	0	0	0	0	0	0	0
GGB30045_SGB42945	9	12	10	9	9	19	4	0	2	3	3	2	0	0	1	0	0	0
Lachnospiraceae_unclassified_SGB102286	9	2	1	6	5	1	0	0	0	0	0	0	2	2	2	3	1	4
GGB74395_SGB43523	8	36	14	37	28	13	546	373	207	613	341	412	431	280	751	1198	121	811
GGB28933_SGB41634	8	6	4	11	10	4	0	0	50	10	117	78	144	46	66	68	28	61
Lachnospiraceae_unclassified_SGB41583	8	29	14	44	48	15	6	4	2	13	6	8	0	0	0	0	0	0
GGB29546_SGB42338	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28868_SGB41542	7	12	2	18	39	7	193	35	2	58	54	68	0	19	0	3	0	134
GGB30296_SGB43260	7	10	3	14	14	5	22	36	11	38	8	13	26	55	172	120	44	149
GGB28790_SGB41443	6	14	1	16	47	13	0	0	0	2	0	0	24	1	0	0	0	0
GGB30475_SGB63182	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillospiraceae_unclassified_SGB43526	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_danieliae	6	7	6	2	2	6	52	37	7	24	12	31	18	42	41	8	70	8
GGB31184_SGB44478	6	16	11	8	20	21	0	1	0	8	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_MD308	5	2	1	0	0	1	50	7	0	8	36	30	11	22	8	7	26	31
Oscillospiraceae_unclassified_SGB94989	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_A2	4	5	2	3	4	0	0	5	0	3	5	2	0	0	0	0	0	0
Adlercreutzia_muris	4	14	12	4	4	10	3	11	4	7	40	11	19	45	144	28	68	26
GGB28893_SGB41574	4	92	41	136	161	44	0	0	0	0	0	0	0	0	0	0	0	0
GGB30145_SGB43072	3	6	0	5	3	0	27	4	5	3	12	30	62	18	27	34	1	60
Oscillospiraceae_unclassified_SGB43502	2	2	0	3	41	20	49	11	28	23	116	138	90	37	11	25	95	22
GGB28934_SGB41635	2	3	0	5	0	0	0	0	1	7	0	0	26	0	23	55	10	0
bacterium_1XD42_1	1	3	0	4	5	5	34	0	6	0	6	13	36	3	65	45	11	0
Clostridium_methylpentosum	1	2	2	1	0	2	2	0	0	1	0	1	1	3	13	3	6	2
Parvibacter_caecicola	1	1	3	0	0	3	0	0	0	0	1	0	0	0	7	0	3	0
GGB31841_SGB45219	1	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0
GGB30089_SGB43001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28933_SGB102250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium_1xD42_67	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Escherichia_coli	0	0	0	0	262	350	0	0	0	0	120	122	18	59	164	0	44	0
GGB30456_SGB94992	0	0	0	0	5	0	0	0	0	0	0	0	19	8	0	0	0	38
GGB28967_SGB41678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_muris	0	4896	0	2107	2995	3945	0	0	151	0	0	0	0	0	1983	3984	867	0
Duncaniella_freteri	0	482	619	476	457	828	0	1130	0	404	115	0	405	267	0	0	0	0
Bacteria_unclassified_SGB43546	0	233	62	394	399	125	1	0	143	22	0	0	16	0	0	0	20	0
GGB28419_SGB41002	0	157	380	228	107	53	0	0	0	0	0	0	0	0	0	0	0	0
GGB30473_SGB43557	0	147	102	118	137	198	0	0	86	56	99	112	78	42	255	125	62	0
GGB73364_SGB102608	0	67	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0
Acetatifactor_SGB41549	0	66	18	91	303	38	0	0	0	0	0	0	0	0	0	0	0	0
GGB28398_SGB40979	0	57	0	25	103	50	226	811	975	511	57	43	66	410	0	0	1000	0
GGB29472_SGB42251	0	49	0	0	52	0	0	0	16	0	66	40	140	453	91	8	0	0
GGB29549_SGB42342	0	45	26	84	382	151	155	0	126	70	266	454	0	0	0	0	0	0
Limosilactobacillus_reuteri	0	37	0	0	1	0	9	0	5	0	0	9	0	0	0	0	0	0
GGB28695_SGB41326	0	21	34	16	6	23	106	0	78	54	950	238	2	0	4	0	0	0
Lachnospiraceae_unclassified_SGB41418	0	20	5	29	0	1	0	20	7	25	3	1	5	2	0	0	27	0
GGB70381_SGB94803	0	16	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB29001_SGB41717	0	14	0	19	33	9	0	0	17	1	0	0	0	0	6	11	0	36
GGB28798_SGB41451	0	8	0	3	4	6	146	149	0	82	155	134	15	85	11	7	27	675
Pumilibacter_sp_CLA_AA_M08	0	6	0	6	6	23	14	0	71	0	0	0	14	0	11	115	2	0
GGB28873_SGB41553	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
GGB31235_SGB44536	0	5	0	2	0	2	0	0	0	0	0	0	0	25	0	0	0	0
GGB28860_SGB41529	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28996_SGB41712	0	4	0	0	3	0	45	390	0	293	174	45	0	26	0	11	14	0
GGB28392_SGB40972	0	4	0	1	0	17	0	0	0	0	0	0	450	0	35	139	268	0
GGB45656_SGB63370	0	4	0	0	0	0	6	0	0	0	0	7	0	0	7	44	0	0
GGB28386_SGB40966	0	3	0	4	8	8	0	0	0	0	0	0	0	0	0	0	0	0
GGB42579_SGB59774	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28394_SGB40975	0	3	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB42598_SGB59794	0	3	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_symbiosum	0	3	1	1	0	4	0	0	0	0	0	1	2	0	0	0	1	0
GGB75927_SGB102412	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30454_SGB43514	0	2	0	4	1	0	33	2	50	6	1	42	0	0	0	0	0	0
GGB81415_SGB59846	0	1	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_sp_DSM_108611	0	1	0	0	0	0	2	2	0	1	0	1	2	5	13	2	7	3
GGB28760_SGB41408	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
